Category,Word,Frequency
national,emergency,175
national,united,149
national,guard,142
national,states,127
national,act,124
national,applause,123
national,year,111
pride,american,79
pride,heart,54
pride,man,45
pride,new,43
pride,time,42
pride,york,39
pride,houston,37
pride,stand,36
pride,proud,35
pride,detroit,34
proud,america,409
proud,great,245
proud,american,239
proud,thank,222
proud,applause,210
proud,proudly,193
proud,country,183
proud,know,180
proud,people,142
proud,president,140
constitution,president,116
constitution,states,111
constitution,united,108
constitution,law,105
constitution,constitutional,100
constitution,authority,84
constitution,america,82
constitution,judge,68
constitution,protect,57
constitution,defend,51
constitutional,unconstitutional,39
constitutional,president,38
constitutional,authority,27
constitutional,provision,24
constitutional,right,21
constitutional,act,20
constitutional,law,16
constitutional,consistent,14
constitutional,treat,14
constitutional,include,14
liberty,religious,153
liberty,right,132
liberty,free,85
liberty,defend,82
liberty,speech,77
liberty,bear,76
liberty,arm,65
liberty,life,62
liberty,applause,54
liberty,freedom,52
america,american,6777
america,americans,2422
america,great,1980
america,applause,1622
america,people,1407
america,president,1149
america,thank,1049
america,country,979
america,year,915
america,african,783
justice,court,241
justice,supreme,196
justice,criminal,181
justice,reform,168
justice,great,134
justice,applause,110
justice,law,94
justice,department,93
justice,president,91
justice,thank,88
freedom,american,105
freedom,applause,90
freedom,people,77
freedom,right,76
freedom,stand,70
freedom,great,68
freedom,defend,64
freedom,president,59
freedom,america,56
freedom,religious,56
inequality,tax,15
inequality,income,10
inequality,look,6
inequality,republican,4
inequality,wage,3
inequality,year,3
inequality,fall,2
inequality,close,2
inequality,million,2
inequality,pay,2
equity,benefit,43
equity,substantive,43
equity,procedural,43
equity,enforceable,43
equity,law,43
equity,party,43
equity,united,43
equity,states,43
equity,department,43
equity,agency,43
integrity,election,34
integrity,nation,10
integrity,vote,10
integrity,american,9
integrity,goal,8
integrity,voter,8
integrity,ensure,8
integrity,important,8
integrity,system,7
integrity,applause,7
equality,justice,22
equality,inequality,20
equality,tax,15
equality,freedom,11
equality,americans,10
equality,income,10
equality,party,10
equality,fight,8
equality,opportunity,7
equality,country,7
compassion,people,17
compassion,compassionate,15
compassion,thank,13
compassion,want,13
compassion,love,10
compassion,woman,8
compassion,american,8
compassion,life,8
compassion,care,7
compassion,president,7
jobs,big,2
jobs,care,1
jobs,system,1
jobs,displace,1
jobs,million,1
jobs,american,1
jobs,jobseeker,1
jobs,biden,1
jobs,plan,1
jobs,institute,1
cost,year,87
cost,drug,83
cost,know,80
cost,billion,69
cost,people,60
cost,dollar,54
cost,time,53
cost,want,51
cost,million,50
cost,money,46
inflation,low,6
inflation,percent,5
inflation,rate,5
inflation,number,5
inflation,growth,5
inflation,dollar,5
inflation,year,5
inflation,leave,4
inflation,interest,4
inflation,applause,4
wealth,america,288
wealth,wealthy,235
wealth,country,103
wealth,commonwealth,79
wealth,strong,73
wealth,people,62
wealth,pennsylvania,56
wealth,want,46
wealth,come,45
wealth,proud,44
financial,financially,30
financial,support,18
financial,provide,16
financial,think,14
financial,service,14
financial,institution,12
financial,assistance,11
financial,country,10
financial,president,10
financial,want,10
business,small,293
business,great,179
business,know,174
business,people,174
business,want,118
business,job,112
business,big,102
business,lot,97
business,country,93
business,think,91
unemployment,low,290
unemployment,american,267
unemployment,rate,211
unemployment,history,153
unemployment,hispanic,130
unemployment,number,127
unemployment,african,126
unemployment,good,119
unemployment,reach,118
unemployment,asian,107
tax,taxis,765
tax,cut,649
tax,raise,313
tax,want,312
tax,regulation,214
tax,country,167
tax,big,167
tax,history,160
tax,year,150
tax,know,132
economy,great,335
economy,good,187
economy,world,185
economy,history,171
economy,country,157
economy,job,125
economy,people,115
economy,strong,113
economy,president,113
economy,build,112
economic,year,204
economic,country,151
economic,great,136
economic,economically,78
economic,president,69
economic,world,68
economic,history,68
economic,job,52
economic,good,52
economic,american,52
climate,paris,63
climate,accord,48
climate,change,20
climate,country,16
climate,want,14
climate,president,13
climate,sided,11
climate,disaster,11
climate,applause,10
climate,job,9
emission,carbon,16
emission,zero,16
emission,net,10
emission,year,8
emission,mandate,7
emission,country,6
emission,think,5
emission,reduce,5
emission,want,4
emission,energy,4
health,healthcare,506
health,care,408
health,people,196
health,want,177
health,free,154
health,million,136
health,service,125
health,public,117
health,great,114
health,insurance,113
security,national,279
security,social,238
security,border,216
security,want,154
security,protect,143
security,homeland,124
security,united,121
security,president,117
security,states,107
security,medicare,107
immigration,illegal,100
immigration,system,91
immigration,border,57
immigration,law,48
immigration,want,45
immigration,people,43
immigration,country,42
immigration,american,42
immigration,plan,40
immigration,safe,27
asylum,country,12
asylum,people,9
asylum,loophole,9
asylum,release,8
asylum,applause,8
asylum,fraud,8
asylum,end,7
asylum,claim,7
asylum,catch,7
asylum,member,7
deportation,country,5
deportation,want,5
deportation,border,5
deportation,criminal,3
deportation,release,3
deportation,city,3
deportation,crazy,3
deportation,bernie,3
deportation,detention,3
deportation,biden,3
undocumented,immigrant,5
undocumented,crime,4
undocumented,crossing,3
undocumented,low,3
undocumented,commit,3
undocumented,president,2
undocumented,level,2
undocumented,massive,2
undocumented,number,2
undocumented,criminal,2
fencing,wall,6
fencing,new,3
fencing,outside,3
fencing,know,2
fencing,especially,2
fencing,powerful,2
fencing,money,1
fencing,properly,1
fencing,lot,1
fencing,brand,1
border,want,520
border,open,356
border,wall,325
border,country,277
border,southern,273
border,patrol,252
border,people,245
border,come,214
border,security,213
border,secure,200
military,great,273
military,rebuild,211
military,know,172
military,united,166
military,states,160
military,year,156
military,people,153
military,applause,151
military,want,150
military,country,148
criminal,alien,187
criminal,justice,176
criminal,reform,160
criminal,country,94
criminal,release,91
criminal,people,88
criminal,year,80
criminal,want,78
criminal,violent,70
criminal,sanctuary,70
senate,house,113
senate,thank,56
senate,great,53
senate,president,44
senate,vote,44
senate,people,43
senate,run,40
senate,win,40
senate,think,36
senate,know,36
bill,billion,3278
bill,dollar,783
bill,year,621
bill,china,493
bill,pay,391
bill,know,307
bill,farmer,302
bill,want,260
bill,deal,241
bill,money,221
